LOC.,TAG,OPERATOR COMPLAIN,PROBLEM,ACTION TAKEN,DATE
,52-LA-004,,HP alarm ,"* Check found High pressure alarm, clear it.
* Zero check was done for 52PT002D found ok then   check loading found it ok.",24/01/2015
,13-FT-042,,blockage,"Flushing, Clear blockage from low side tap point, Zero/span check found ok, 
Note : * Needs cover o-ring.
          * Need hand for the vent isolation valve.",26/01/2015
,15-LT-003,,Reset,"Factory reset and reconfiguration were done, false Echo suppression to level was done, Check reading found ok. ",26/01/2015
,Unit -02,,Collect data,Visually unit survey was done ,26/01/2015
,Unit -03,,Collect data,Visually unit survey was done ,26/01/2015
,04-ME-002D,,Adjust setting,Adjust the switch setting then function check found ok.,26/01/2015
,51-LT-018,,PMR,PMR was carred out.,26/01/2015
,51-FV-060,,Extend cable,"Hang the cable roll on the roll holder, Waiting civil dept. to finish digging to extend the cable.",26/01/2015
,51-LT-041,,PMR,PMR was carred out.,27/01/2015
,51-LT-047,,PMR,PMR was carred out.,27/01/2015
,53-LSL-009,,PMR,PMR was carred out.,27/01/2015
,53-LSL-014,,PMR,PMR was carred out.,27/01/2015
,53-LSHH-016,,PMR,PMR was carred out.,27/01/2015
,UNIT-53,,SURVEY,PMR was carred out.,27/01/2015
,51-FV-060,,Check,"Use the fault locator to check (MEI-03,014) cables from CR-08 found them defective, To be continued.",27/01/2015
,13-LSHH-008,,PMR,PMR was carried out.,27/01/2015
,13-LSHH-009,,PMR,PMR was carried out.,27/01/2015
,13-LSHH-077,,PMR,PMR was carried out.,27/01/2015
,13-LSHH-078,,PMR,PMR was carried out.,27/01/2015
,05-VSH-171B,,PMR,PMR was carried out.,27/01/2015
,07-VSH-003B,,PMR,PMR was carried out.,27/01/2015
A2A,03-TT-004,,PMR,PMR was carried out.,27/01/2015
,07-FT-030,,PMR,PMR was carried out.,27/01/2015
,13-PT-054,,I/O Bad,"Function check was done found ok, The reading was actual as the nitrogen purge line was opened. ",27/01/2015
,13-PT-055,,I/O Bad,"Function check was done found ok, The reading was actual as the nitrogen purge line was opened.",27/01/2015
,    51-JBI-03   ,,Check cables,"Use the fault locator to check (MEI-03,014) cables from JB side to be continue tomorrow to check from the CR-08 siede.",28/01/2015
,51-JEI-14,,Check cables,"Use the fault locator to check (MEI-03,014) cables from JB side to be continue tomorrow to check from the CR-08 siede.",28/01/2015
,58-FT-006,,No problem,Complete function check found ok and no problem found.,28/01/2015
,07-PT-021,,Calibration,"Flushing both tap points, Zero calibration was done, Spanand function check was done found ok",28/01/2015
,13-LSHH-09,,Blockage,Clear blockage from inside stop tube and function check was done found ok,28/01/2015
,07-FT-112,,Reset,"Reset the electronic module then zero and span calibration were, check reading found ok.
Install new gland and shroud.",29/01/2015
,07-FT- 019,,Equalization,"Zero check found ok, open the bypass valve to equalize the service inside the impulse line then check reading found zero.",29/01/2015
,07-FT-012,,Equalization,"Zero check found ok, open the bypass valve to equalize the service inside the impulse line then check reading found zero.",29/01/2015
,07-FT-015,,Equalization,"Zero check found ok, open the bypass valve to equalize the service inside the impulse line then check reading found zero.",29/01/2015
,13-PT-054,,Wrong Reading,"Reset, zero check found ok then check reading found it ok.",29/01/2015
,13-LG-243,,Clean,The level glasses were cleaned by steam.,29/01/2015
,13-LG-242,,Clean,The level glasses were cleaned by steam.,29/01/2015
,14-VSH-053B,,Vibration Alarm,Adjust switch set point.,29/01/2015
,51-LT-053,,PMR,PMR was carried out.,29/01/2015
,53-LS-005,,PMR,PMR was carried out.,29/01/2015
,51-MPI-003,,Check,Check for the cables from control room was done.,29/01/2015
,51-MEI-014,,Check,Check for the cables from control room was done.,29/01/2015
,51-PT-059,,Calibration,"Zero calibration and span check were done then check reading found matching with PI
Recommendation: replace the electronic module by a new one.",29/01/2015
,51-MOV-263,,Low Battery,"Check found low battery alarm, replace it by an used one and clear the alarm then function check found ok.",29/01/2015
,51-MOV-225,,Defective Drive Coupling,"Check found there is a problem in drive coupling, dismantle the actuator and put it beside the body, waiting for static department to repair the coupling.",29/01/2015
,51-FT-013,,Needs Calibration,"Clear partial blockage from both tap points, then refill the impulse tubes and seal pot with 50% glycerin and 50% water, zero and span calibration were done, then check reading found ok.",29/01/2015
,51-FT-010,,Blockage,"Clear blockage from both of low and high side, refill the impulse tubes and seal pot with 50% glycerin and 50% water, zero check was done the check reading found ok.",30/01/2015
,51-FT-012,,No Problem,"Check tap points found ok, refill the impulse tubes and seal pot with 50% glycerin and 50% water, zero check was done the check reading found ok.",30/01/2015
A2A,03-E-053,,Install ,"Scaffolding were erected 
waiting static dept to finish their work",1/2/2015
,04-PDT-532,,Replace ,"Replace Tx by new yokogawa one , full configuration were done , put Tx in H/L swap mode .",1/2/2015
,14-ME-53B,,High vibration ,"vibration team inspect the fan found extra vibration 
transfer the job to RTQ dept .",1/2/2015
,07-PT-029,,Reset,"Reset , flushing was done for tap points 
zero/span check found ok.
Need 2 cover O-ring 
Recommendation : Replace the electronic module ",1/2/2015
,13-FV-074,,Broken Hand ,"check found missing isolation valve hand of the main air supply , try to dismantle the lock of the nut but useless ",1/2/2015
,13-XV-030,,No problem ,force the valve to open / close and check indication with DCS found ok ,1/2/2015
,13-XV-029,,Stuck,"check found that the valve is Stuck , force the valve several times to clear valve stuck , check open /close indication with DCS found ok.",1/2/2015
A2A,03-FT-005G,,Defective   E-card,"Replace the defected electronic module by a used one , zero check was done , span calibration was done then check reading found it ok .",1/2/2015
,13-HS-I02R,,Defective push button,"check found that the base of the manual reset push button is defective , replace it by spare one then function check was done found ok .",1/2/2015
,13-FT-021,,,waiting for scaffolding ,1/2/2015
,51-FT-010,,No problem ,zero check found ok.,1/2/2015
,51-FT-011,,Blockage ,"check found blockage in both sides , refill seal pot with 50 % water ,50% glycerin , zero check found ok.",1/2/2015
,51-FT-012,,Calibration ,"zero calibration was done, refill seal pot with 50 % water ,50% glycerin",1/2/2015
,51-FT-013,,Calibration ,"zero calibration was done, refill seal pot with 50 % water ,50% glycerin",1/2/2015
,51-FT-014,,No problem ,zero check found ok.,1/2/2015
,51-MOV-225,,defected bearing,"Check found defective lower center column bearing , try to dismantle it but the snap ring is stuck in bearing housing, to be continue tomorrow.",1/2/2015
,14-PSH-033,,Blockage ,"Check found blockage inside the impulse line, dismantle it , clear blockage using steam , readjust the switch setting , tighten on wires in the JB , function check found ok.",2/2/2015
,13-FT-021,,No problem ,"Flushing for both of tap points was done found no problem , zero/span check found ok.",2/2/2015
,15-LT-015,,Calibration ,"refill seal pot with glycerin , zero check found it ok.",2/2/2015
,05-FT-014,,Reset,"Reset , function check was done found ok.",2/2/2015
,13-HZ-51,,Install ,Waiting static dept to finish their work to install instruments at sulfur pit.,2/2/2015
,13-E-53,,Install ,Install instruments without connecting power cables.,2/2/2015
,45-FT-010,,Wrong reading,"Reset ,flushing , zero calibration was done , span check found ok , then check reading found it ok.",2/2/2015
,51-LT-082,,Reset,"Reset , zero / span check found ok.",2/2/2015
,51-FT-005,,Defective cell ,"Refill impulse tubes with glycerin , zero calibration was done ,need to replace the electronic card and cell. Waiting Spare.",2/2/2015
,51-MOV-225,,Install,"Install center column bearing with oil seal , clean internal parts , Reassemble , reinstall it in site then check local open /close found ok.
Waiting shift engineer to rest the loop to check remote condition.",2/2/2015
,51-MOV-221,,False communication ,###############################################################################################################################################################################################################################################################,2/2/2015
,51-PI-293,,Install,install new one instead of defective one ,2/2/2015
,06-VSH-595,,PMR,PMR was carried out.,3/2/2015
A2A,02-VSH-005A,,PMR,PMR was carried out.,3/2/2015
A2A,02-VSH-005B,,PMR,PMR was carried out.,3/2/2015
,13-LSL-052,,Install Inst.,Install and connect cable and function check was done.,3/2/2015
,13-LSH-051,,Install Inst.,Install and connect cable and function check was done.,3/2/2015
,13-FT-073,,Install Inst.,Install TX back inservice. Waiting to install cable and refill impulse tube with water.,3/2/2015
,13-FT-079,,Install Inst.,Install TX back inservice. Waiting to install cable and refill impulse tube with water.,3/2/2015
,13-FT-082,,Install Inst.,Install TX back inservice. Waiting to install cable and refill impulse tube with water.,3/2/2015
,13-FT-085,,Install Inst.,Install TX back inservice. Waiting to refill impulse tube with water.,3/2/2015
,04-TE-854A,,Loose wire,Tighten on wires and isolate it then function check found ok and alarm cleared.,3/2/2015
